degree,specialization,skills,certifications,cgpa,graduation_year,internship_experience,job_role
B.Sc,Mathematics,"SQL, Tableau, Power BI",None,7.39,2025,1,Data Analyst
MBA,Finance,"Auditing, Excel, Taxation, Tally",None,7.4,2025,1,Accountant
MBBS,Surgery,"Medical Ethics, Patient Care, Anatomy, Surgery",None,7.56,2027,1,Surgeon
BA,Sociology,"Problem Solving, Communication",None,6.23,2025,0,Social Researcher
B.Pharm,Pharmacy,"Pharmacology, Patient Counseling, Drug Safety, Dispensing, Communication",None,6.64,2025,0,Pharmacist
LLM,Corporate Law,"Drafting, Contract Law, Compliance",None,5.96,2025,1,Corporate Lawyer
MBA,Finance,"Financial Analysis, Excel, Portfolio Management, Equity Research, Communication",None,8.67,2027,0,Investment Analyst
B.Sc,Statistics,"Statistical Modeling, SPSS, Probability, R",None,5.0,2025,0,Statistician
B.Sc,Chemistry,"Spectroscopy, Chromatography, Lab Safety, Organic Chemistry",None,8.88,2024,0,Chemist
B.Com,Banking,"Problem Solving, Communication",None,9.16,2026,0,Banking Officer
LLB,Constitutional Law,"Problem Solving, Communication",None,7.14,2026,1,Legal Researcher
B.Sc,Physics,"Tableau, Excel, Python, Communication",None,5.0,2024,0,Data Analyst
MBBS,General Medicine,"Health Promotion, Patient Care, Medicine",None,7.07,2026,1,General Practitioner
B.Com,Accounting,"Communication, QuickBooks, Excel, Taxation",None,7.42,2025,0,Accountant
B.Arch,Interior Design,"Color Theory, Material Selection, AutoCAD, SketchUp",None,6.29,2027,0,Interior Designer
M.Arch,Sustainable Design,"Problem Solving, Communication",None,6.88,2026,1,Sustainable Design Consultant
BBA,Human Resources,"Problem Solving, Communication",None,9.34,2026,0,Recruitment Specialist
B.Com,Finance,"Excel, Accounting, Financial Modeling, Valuation, SAP",Financial Modeling,8.3,2025,0,Financial Analyst
BBA,Marketing,"Email Marketing, Social Media, SEO",None,6.39,2025,1,Digital Marketer
LLB,Constitutional Law,"Problem Solving, Communication",None,5.58,2026,0,Constitutional Lawyer
BCA,Computer Applications,".NET, SQL, Java, C#",None,7.11,2026,0,Software Developer
B.Pharm,Pharmacy,"Drug Safety, Dispensing, Pharmacology",None,7.24,2027,1,Pharmacist
M.Tech,AI,"Scikit-learn, Pandas, Machine Learning, Statistics, Communication",None,8.1,2025,0,Machine Learning Engineer
MA,Psychology,"Research, Behavioral Analysis, Psychotherapy, Counseling",None,6.86,2026,0,Psychologist
B.Sc,Physics,"Research, Lab Techniques, Data Analysis, Technical Writing",None,8.11,2026,0,Research Scientist
M.Tech,Mechanical Engineering,"Ansys, SolidWorks, Thermodynamics",Certified SolidWorks Professional,9.82,2025,1,Mechanical Engineer
MCA,Computer Applications,"HTML, PHP, JavaScript",None,8.48,2024,1,Web Developer
M.Sc,Biotechnology,"Problem Solving, Communication",None,7.44,2024,1,Lab Manager
M.Arch,Urban Planning,"Problem Solving, Communication",None,7.28,2026,1,City Planner
PhD,Mathematics,"SAS, SPSS, Probability",None,7.07,2026,1,Statistician
PhD,Mathematics,"Classroom Management, Subject Knowledge, Communication",None,8.92,2023,1,Teacher
B.Pharm,Pharmaceutical Chemistry,"Problem Solving, Communication",None,6.75,2026,0,Pharmaceutical Chemist
M.Arch,Urban Planning,"Problem Solving, Communication",None,7.55,2025,0,City Planner
LLB,Constitutional Law,"Problem Solving, Communication",None,7.56,2027,1,Legal Researcher
MCA,Computer Applications,"SQL, Java, .NET",None,6.9,2026,0,Software Developer
PhD,Physics,"Lab Techniques, Data Analysis, Technical Writing",None,5.85,2025,0,Research Scientist
MA,English,"Editing, Blogging, Research, Creative Writing, SEO",None,7.89,2026,0,Content Writer
B.Com,Finance,"Tally, Taxation, Auditing, QuickBooks, Communication",None,7.43,2026,0,Accountant
MA,Sociology,"Problem Solving, Communication",None,8.1,2025,0,Social Researcher
MBA,Human Resources,"HRIS, Payroll, Recruitment",None,6.86,2025,0,HR Manager
PhD,Computer Science,"C++, SQL, Java, Data Structures",AWS Certified,8.96,2025,1,Software Engineer
M.Arch,Sustainable Design,"Problem Solving, Communication",None,6.45,2023,0,Green Building Analyst
BA,Psychology,"Problem Solving, Communication",None,9.55,2024,0,Counselor
M.Sc,Chemistry,"Organic Chemistry, Lab Safety, Chromatography, Spectroscopy",None,5.4,2024,0,Chemist
M.Tech,Mechanical Engineering,"Ansys, Thermodynamics, Manufacturing",None,8.02,2025,0,Mechanical Engineer
M.Sc,Biotechnology,"Problem Solving, Communication",None,8.07,2024,0,Research Associate
MA,Sociology,"Problem Solving, Communication",None,6.55,2026,0,Social Researcher
B.Com,Accounting,"QuickBooks, Excel, Taxation, Tally",None,8.01,2026,1,Accountant
B.Pharm,Pharmaceutical Chemistry,"Problem Solving, Communication",None,9.04,2025,1,Pharmaceutical Chemist
B.Sc,Mathematics,"SQL, Tableau, Statistics, Power BI",None,5.0,2027,0,Data Analyst
B.Tech,Electronics Engineering,"Problem Solving, Communication",None,8.1,2024,0,Embedded Systems Engineer
M.Arch,Sustainable Design,"Problem Solving, Communication",None,5.0,2025,0,Sustainable Design Consultant
M.Sc,Biotechnology,"Problem Solving, Communication",None,6.34,2025,0,Research Associate
B.Sc,Statistics,"SPSS, Probability, R",None,9.45,2023,1,Statistician
M.Com,Accounting,"Problem Solving, Communication",None,6.8,2025,1,Auditor
B.Tech,Electrical Engineering,"Problem Solving, Communication",None,6.09,2024,0,Power Systems Engineer
BCA,Computer Applications,"Object Oriented Programming, C#, .NET, Java, SQL",None,7.26,2026,1,Software Developer
BBA,Marketing,"Google Analytics, Digital Marketing, Content Strategy, CRM",HubSpot Content Marketing,9.9,2025,0,Marketing Manager
B.Sc,Chemistry,"Organic Chemistry, Chromatography, Lab Safety",None,5.3,2025,1,Chemist
B.Arch,Architecture,"Building Codes, AutoCAD, SketchUp, 3D Modeling",None,6.24,2027,1,Architect
B.Arch,Architecture,"3D Modeling, SketchUp, Building Codes",None,9.3,2023,1,Architect
B.Pharm,Pharmaceutical Chemistry,"Problem Solving, Communication",None,9.73,2027,1,Pharmaceutical Chemist
MBBS,General Medicine,"Health Promotion, Diagnosis, Patient Care, Medicine",None,7.38,2025,1,General Practitioner
BA,History,"Classroom Management, Subject Knowledge, Curriculum Design, Communication",None,6.01,2026,0,Teacher
MBA,Marketing,"Problem Solving, Communication",Facebook Blueprint,9.9,2025,1,SEO Specialist
MBA,Operations,"Supply Chain, Inventory Management, Logistics, Six Sigma, Communication",None,9.41,2025,1,Operations Manager
MA,Economics,"Problem Solving, Communication",None,8.31,2026,1,Economic Researcher
BBA,Marketing,"Google Ads, Content Creation, Email Marketing, Social Media, SEO",Google Ads,6.53,2025,1,Digital Marketer
MBBS,Surgery,"Medical Ethics, Patient Care, Anatomy, Surgery",None,7.44,2025,0,Surgeon
B.Arch,Architecture,"Problem Solving, Communication",None,7.31,2026,0,Project Manager
M.Com,Finance,"Valuation, Accounting, Excel",None,7.9,2026,1,Financial Analyst
MA,Sociology,"Problem Solving, Communication",None,9.24,2025,0,Social Researcher
M.Com,Accounting,"Excel, Tally, Taxation, Auditing, QuickBooks",None,8.56,2025,1,Accountant
M.Arch,Urban Planning,"Problem Solving, Communication",None,6.21,2027,0,City Planner
M.Com,Accounting,"Problem Solving, Communication",None,9.15,2025,1,Auditor
MA,Sociology,"Problem Solving, Communication",None,7.88,2024,1,HR Specialist
B.Sc,Data Science,"Pandas, Data Visualization, Big Data, R",Azure Data Scientist,8.32,2025,1,Data Scientist
BA,English,"Research, Blogging, SEO",None,9.26,2026,1,Content Writer
LLM,Intellectual Property Law,"Problem Solving, Communication",None,6.17,2026,0,IP Consultant
M.Tech,Computer Science,"C++, Data Structures, Java, Algorithms",None,7.46,2025,0,Software Engineer
B.Sc,Data Science,"Excel, Tableau, Python, Statistics, Power BI",None,6.86,2026,1,Data Analyst
LLB,Criminal Law,"Evidence, Criminal Law, Litigation",None,5.62,2026,0,Criminal Lawyer
M.Sc,Biotechnology,"Problem Solving, Communication",None,7.92,2025,1,Lab Manager
B.Com,Banking,"Problem Solving, Communication",None,9.9,2023,0,Banking Officer
PhD,Computer Science,"Rest APIs, Java, Python, SQL, Django",None,5.29,2025,0,Backend Developer
LLB,Constitutional Law,"Problem Solving, Communication",None,7.46,2025,1,Legal Researcher
MA,English,"Creative Writing, Editing, Blogging, SEO",None,8.27,2025,1,Content Writer
B.Tech,Data Science,"Problem Solving, Communication",IBM Data Science,7.65,2024,1,Data Engineer
MBBS,Pediatrics,"Problem Solving, Communication",None,7.36,2026,1,Pediatrician
B.Sc,Mathematics,"Probability, Statistical Modeling, SAS, SPSS, R",None,5.94,2027,1,Statistician
B.Com,Accounting,"Auditing, Excel, Taxation, Tally",None,7.78,2024,0,Accountant
MCA,Computer Applications,"SQL, Java, C#, Object Oriented Programming",None,6.59,2024,0,Software Developer
BA,Economics,"Problem Solving, Communication",None,5.0,2025,1,Policy Analyst
B.Arch,Architecture,"SketchUp, AutoCAD, Revit, 3D Modeling, Building Codes",None,8.93,2024,1,Architect
BA,History,"Problem Solving, Communication",None,8.65,2024,1,Researcher
M.Sc,Data Science,"Big Data, Pandas, Python, Machine Learning, Data Visualization",Google Data Analytics,7.56,2026,0,Data Scientist
MBA,Marketing,"Google Ads, Content Creation, Email Marketing, Social Media, SEO",None,7.77,2024,1,Digital Marketer
MBBS,General Medicine,"Health Promotion, Patient Care, Diagnosis, Communication, Medicine",None,8.79,2025,1,General Practitioner
LLM,Intellectual Property Law,"Problem Solving, Communication",None,7.77,2027,1,IP Consultant
MCA,Computer Applications,"Problem Solving, Communication",None,8.58,2026,1,System Admin
MCA,Computer Applications,".NET, Java, C#, Object Oriented Programming",None,7.14,2025,1,Software Developer
LLM,Intellectual Property Law,"Problem Solving, Communication",None,9.07,2025,1,IP Consultant
M.Sc,Statistics,"Tableau, Python, SQL, Statistics, Power BI",None,7.88,2026,0,Data Analyst
LLM,Intellectual Property Law,"Problem Solving, Communication",None,7.73,2023,1,IP Consultant
MBA,Human Resources,"Employee Relations, HRIS, Payroll, Communication",SHRM-CP,5.98,2026,1,HR Manager
MCA,Computer Applications,"SQL, Java, C#, Object Oriented Programming",None,7.84,2026,1,Software Developer
BA,Sociology,"Problem Solving, Communication",None,6.5,2025,1,Social Researcher
M.Arch,Sustainable Design,"Problem Solving, Communication",None,6.73,2025,0,Green Building Analyst
M.Com,Finance,"Financial Modeling, Valuation, SAP",CFA,6.52,2025,1,Financial Analyst
MBA,Finance,"Financial Analysis, Excel, Portfolio Management, Equity Research",FRM,6.22,2025,0,Investment Analyst
B.Sc,Data Science,"SQL, Tableau, Statistics",None,9.9,2025,1,Data Analyst
B.Tech,Electrical Engineering,"SCADA, Circuit Design, MATLAB, Power Systems",None,9.1,2027,1,Electrical Engineer
M.Tech,Computer Science,"React, Node.js, MongoDB, CSS, JavaScript, Communication",Google Cloud,9.8,2025,1,Full Stack Developer
M.Sc,Chemistry,"Organic Chemistry, Chromatography, Lab Safety, Spectroscopy",None,6.03,2024,1,Chemist
LLB,Corporate Law,"Drafting, Contract Law, Mergers, Compliance, Corporate Law",None,7.59,2026,0,Corporate Lawyer
B.Com,Finance,"Financial Analysis, Excel, Portfolio Management, Equity Research",None,5.95,2026,1,Investment Analyst
B.Arch,Interior Design,"Color Theory, Material Selection, AutoCAD, SketchUp",None,6.67,2026,0,Interior Designer
M.Com,Finance,"Excel, Accounting, Financial Modeling, Valuation, Communication",CPA,6.4,2026,0,Financial Analyst
B.Tech,Data Science,"Communication, Data Visualization, Big Data, R",Google Data Analytics,8.99,2026,1,Data Scientist
MCA,Computer Applications,"SQL, Java, C#, Object Oriented Programming",None,7.02,2026,0,Software Developer
BBA,Finance,"Excel, Taxation, Tally",None,8.78,2024,1,Accountant
MCA,Computer Applications,"Object Oriented Programming, C#, Java, SQL, Communication",None,8.22,2025,1,Software Developer
M.Sc,Statistics,"Tableau, Excel, Python, Power BI",None,9.9,2027,1,Data Analyst
B.Sc,Biotechnology,"Problem Solving, Communication",None,5.72,2024,0,Lab Manager
B.Sc,Data Science,"Problem Solving, Communication",IBM Data Science,9.01,2023,1,Data Engineer
BCA,Computer Applications,"React, CSS, WordPress, HTML, PHP",None,8.88,2023,1,Web Developer
B.Arch,Interior Design,"Color Theory, SketchUp, AutoCAD, Material Selection, Communication",None,6.33,2025,1,Interior Designer
MA,Sociology,"Problem Solving, Communication",None,8.71,2025,0,Social Researcher
BCA,Computer Applications,"React, CSS, JavaScript, WordPress, HTML, Communication",None,7.9,2026,0,Web Developer
MA,Sociology,"Problem Solving, Communication",None,7.23,2027,1,Social Researcher
M.Arch,Sustainable Design,"Problem Solving, Communication",None,6.51,2025,0,Green Building Analyst
M.Sc,Statistics,"SAS, SPSS, Statistical Modeling",None,6.64,2027,1,Statistician
M.Tech,AI,"Neural Networks, Deep Learning, TensorFlow, Python, PyTorch",DeepLearning.AI,9.9,2025,1,AI Engineer
MBA,Operations,"Inventory Management, Six Sigma, Supply Chain",None,7.5,2025,1,Operations Manager
M.Arch,Urban Planning,"Problem Solving, Communication",None,8.44,2027,1,Urban Planner
MBBS,Surgery,"Medical Ethics, Anatomy, Patient Care",None,6.55,2023,1,Surgeon
LLM,Intellectual Property Law,"Problem Solving, Communication",None,6.56,2023,1,IP Consultant
BBA,Business Analytics,"Python, SQL, Statistics, Communication, Power BI",Power BI Data Analyst,8.8,2025,1,Data Analyst
PhD,Physics,"Research, Lab Techniques, Technical Writing",None,5.88,2026,1,Research Scientist
MA,Psychology,"Research, Behavioral Analysis, Psychotherapy, Counseling",None,7.0,2027,0,Psychologist
PhD,Computer Science,"C++, SQL, Java, Algorithms",None,7.54,2024,1,Software Engineer
MCA,Computer Applications,"SQL, C#, Object Oriented Programming",None,7.63,2025,0,Software Developer
BBA,Finance,"Excel, Accounting, Valuation, SAP, Communication",None,7.29,2024,1,Financial Analyst
MCA,Computer Applications,"WordPress, React, CSS",None,7.97,2025,1,Web Developer
LLB,Corporate Law,"Drafting, Contract Law, Mergers, Compliance, Corporate Law",None,8.33,2025,1,Corporate Lawyer
B.Arch,Architecture,"3D Modeling, Revit, Building Codes",None,8.38,2027,0,Architect
B.Arch,Interior Design,"Material Selection, AutoCAD, SketchUp",None,6.32,2027,0,Interior Designer
MCA,Computer Applications,"React, CSS, WordPress, HTML, PHP",None,7.16,2023,1,Web Developer
MBA,Finance,"Excel, Accounting, Financial Modeling, Valuation, SAP",CPA,8.93,2025,0,Financial Analyst
B.Arch,Interior Design,"Material Selection, AutoCAD, SketchUp",None,8.57,2025,1,Interior Designer
BA,English,"Problem Solving, Communication",None,5.85,2027,1,Editor
B.Arch,Interior Design,"Problem Solving, Communication",None,7.92,2026,1,Space Planner
B.Sc,Data Science,"Data Visualization, Python, Big Data",IBM Data Science,5.13,2027,0,Data Scientist
MA,Psychology,"Problem Solving, Communication",None,7.56,2026,0,Counselor
M.Com,Accounting,"Problem Solving, Communication",None,9.78,2026,1,Auditor
LLB,Criminal Law,"Evidence, Criminal Law, Court Procedures, Litigation",None,6.36,2025,1,Criminal Lawyer
MA,English,"Editing, Blogging, Research, Creative Writing, SEO",None,6.5,2024,1,Content Writer
BCA,Computer Applications,"Problem Solving, Communication",None,8.42,2027,0,System Admin
MCA,Computer Applications,"React, PHP, JavaScript",None,5.65,2026,1,Web Developer
MBA,Marketing,"Google Analytics, Digital Marketing, SEO",HubSpot Content Marketing,6.74,2023,1,Marketing Manager
B.Com,Accounting,"Auditing, QuickBooks, Tally",None,8.22,2025,0,Accountant
BBA,Business Analytics,"Excel, Statistics, Power BI",CBAP,6.74,2026,0,Data Analyst
LLM,International Law,"Problem Solving, Communication",None,7.22,2025,0,International Lawyer
MBA,Marketing,"Email Marketing, Social Media, Content Creation, SEO",None,8.39,2026,1,Digital Marketer
BBA,Human Resources,"Problem Solving, Communication",PHR,8.01,2024,0,Recruitment Specialist
BBA,Business Analytics,"Excel, Tableau, Visio, Business Intelligence, SQL",Tableau Desktop Specialist,7.82,2023,0,Business Analyst
M.Arch,Sustainable Design,"Problem Solving, Communication",None,7.09,2025,0,Sustainable Design Consultant
M.Com,Accounting,"Auditing, Excel, Taxation, Tally",None,7.94,2024,1,Accountant
M.Tech,Mechanical Engineering,"Problem Solving, Communication",None,7.35,2023,0,Project Engineer
MBA,Finance,"Excel, Tally, Taxation, Auditing, QuickBooks",CFA,8.05,2025,0,Accountant
BCA,Computer Applications,"Object Oriented Programming, .NET, C#, Java, SQL",None,6.9,2026,1,Software Developer
BBA,Business Analytics,"Excel, Visio, Business Intelligence, SQL, Communication",None,7.28,2026,1,Business Analyst
BA,English,"Research, Communication, Creative Writing, SEO",None,6.31,2024,0,Content Writer
B.Arch,Architecture,"3D Modeling, Revit, Building Codes, SketchUp",None,7.46,2026,0,Architect
B.Com,Banking,"Problem Solving, Communication",None,6.53,2026,1,Banking Officer
BA,History,"Classroom Management, Subject Knowledge, Curriculum Design, Communication",None,6.16,2027,1,Teacher
M.Com,Finance,"Excel, Tally, Taxation, Auditing, QuickBooks",None,7.81,2026,1,Accountant
M.Sc,Biotechnology,"Problem Solving, Communication",None,7.76,2026,1,Research Associate
BCA,Computer Applications,"Java, .NET, C#, Communication",None,8.44,2023,0,Software Developer
M.Tech,AI,"Deep Learning, TensorFlow, Python, PyTorch, Communication",DeepLearning.AI,6.98,2024,0,AI Engineer
B.Com,Banking,"Excel, Portfolio Management, Equity Research",None,7.99,2024,1,Investment Analyst
M.Tech,Mechanical Engineering,"Pro-E, CATIA, Sketching, AutoCAD, Design",None,8.16,2024,1,Design Engineer
M.Arch,Sustainable Design,"Problem Solving, Communication",None,8.03,2027,1,Sustainable Design Consultant
MBBS,General Medicine,"Health Promotion, Diagnosis, Patient Care, Medicine",None,6.51,2026,1,General Practitioner
LLM,International Law,"Problem Solving, Communication",None,7.68,2027,1,International Lawyer
BBA,Business Analytics,"Business Intelligence, SQL, Tableau",Tableau Desktop Specialist,7.94,2025,1,Business Analyst
B.Com,Accounting,"Auditing, QuickBooks, Taxation, Tally",None,7.51,2027,1,Accountant
PhD,Mathematics,"Statistics, Excel, Python",None,5.0,2025,0,Data Analyst
M.Arch,Sustainable Design,"Problem Solving, Communication",None,7.69,2026,0,Sustainable Design Consultant
M.Arch,Sustainable Design,"Problem Solving, Communication",None,9.9,2024,1,Sustainable Design Consultant
BBA,Marketing,"Social Media, Google Ads, SEO, Email Marketing",Facebook Blueprint,7.07,2026,0,Digital Marketer
PhD,Physics,"Research, Lab Techniques, Data Analysis, Technical Writing",None,6.63,2025,1,Research Scientist
BBA,Business Analytics,"Business Intelligence, SQL, Excel, Visio",Power BI Data Analyst,7.95,2026,0,Business Analyst
B.Tech,Electronics Engineering,"Problem Solving, Communication",None,7.87,2025,0,Embedded Systems Engineer
B.Tech,Data Science,"Problem Solving, Communication",None,8.93,2025,0,Data Engineer
LLM,International Law,"Problem Solving, Communication",None,5.99,2025,0,International Lawyer
M.Com,Finance,"Financial Analysis, Excel, Portfolio Management, Equity Research",Financial Modeling,8.38,2026,1,Investment Analyst
B.Tech,Electronics Engineering,"Embedded Systems, PCB Design, Verilog",None,8.21,2026,0,Electronics Engineer
M.Com,Accounting,"Excel, Tally, Taxation, Auditing, QuickBooks",None,7.33,2026,0,Accountant
MBBS,General Medicine,"Problem Solving, Communication",None,7.91,2025,1,Medical Consultant
BA,Economics,"Problem Solving, Communication",None,8.74,2023,0,Economic Researcher
M.Tech,AI,"Statistics, Scikit-learn, Pandas, Python, Machine Learning",TensorFlow Developer,8.55,2026,0,Machine Learning Engineer
BCA,Computer Applications,"WordPress, CSS, HTML, PHP",None,6.13,2023,1,Web Developer
MBA,Operations,"Supply Chain, Inventory Management, Logistics, Six Sigma, Communication",None,8.48,2023,0,Operations Manager
MBA,Marketing,"Google Analytics, Digital Marketing, Content Strategy, CRM",Google Ads,7.42,2024,0,Marketing Manager
B.Pharm,Pharmacy,"Problem Solving, Communication",None,7.59,2023,1,Drug Safety Associate
M.Tech,Mechanical Engineering,"SolidWorks, AutoCAD, Ansys, Thermodynamics, Manufacturing",AutoCAD Certified,7.59,2025,0,Mechanical Engineer
BA,Economics,"Problem Solving, Communication",None,7.32,2024,0,Economic Researcher
LLM,Intellectual Property Law,"Problem Solving, Communication",None,8.93,2026,0,Patent Analyst
MA,Sociology,"Problem Solving, Communication",None,7.4,2024,0,HR Specialist
MA,English,"Research, Editing, Creative Writing, SEO",None,6.16,2024,0,Content Writer
B.Com,Finance,"Financial Analysis, Excel, Portfolio Management, Equity Research",CPA,7.03,2025,0,Investment Analyst
BCA,Computer Applications,"CSS, JavaScript, WordPress, HTML, PHP",None,7.71,2026,0,Web Developer
BCA,Computer Applications,"Problem Solving, Communication",None,8.98,2025,1,System Admin
MBBS,Surgery,"Problem Solving, Communication",None,8.22,2025,1,Medical Researcher
B.Arch,Architecture,"SketchUp, AutoCAD, Revit, 3D Modeling, Building Codes",None,6.48,2024,0,Architect
BA,Economics,"Problem Solving, Communication",None,9.9,2025,1,Economic Researcher
LLB,Criminal Law,"Evidence, Criminal Law, Court Procedures, Litigation",None,7.82,2024,0,Criminal Lawyer
B.Sc,Biotechnology,"Problem Solving, Communication",None,9.03,2025,0,Research Associate
B.Tech,Electrical Engineering,"Problem Solving, Communication",None,7.32,2025,0,Power Systems Engineer
PhD,Biotechnology,"Problem Solving, Communication",None,8.14,2025,0,Research Associate
MCA,Computer Applications,".NET, SQL, C#, Object Oriented Programming",None,8.51,2026,1,Software Developer
B.Com,Finance,"Financial Analysis, Excel, Portfolio Management, Communication",CPA,8.96,2025,0,Investment Analyst
MBA,Business Analytics,"Business Intelligence, Tableau, Excel, Visio",None,8.77,2026,0,Business Analyst
B.Tech,Civil Engineering,"Project Management, Safety, Site Management, Estimation",None,8.55,2024,0,Construction Manager
B.Arch,Architecture,"SketchUp, AutoCAD, Revit, 3D Modeling, Communication, Building Codes",None,7.12,2025,1,Architect
M.Sc,Biotechnology,"Problem Solving, Communication",None,6.81,2025,0,Lab Manager
M.Sc,Biotechnology,"Problem Solving, Communication",None,7.9,2027,0,Research Associate
B.Com,Accounting,"Auditing, Excel, Tally",None,8.62,2025,1,Accountant
B.Arch,Interior Design,"Space Planning, Color Theory, Material Selection, AutoCAD",None,7.23,2027,0,Interior Designer
MA,Sociology,"Problem Solving, Communication",None,8.78,2026,1,HR Specialist
M.Sc,Data Science,"Python, R, Data Visualization, Pandas",Google Data Analytics,9.24,2026,1,Data Scientist
M.Tech,Mechanical Engineering,"Ansys, AutoCAD, Manufacturing",None,6.4,2025,0,Mechanical Engineer
B.Tech,AI,"Deep Learning, Python, PyTorch, TensorFlow",None,6.5,2026,1,AI Engineer
B.Com,Accounting,"Auditing, QuickBooks, Excel",None,7.33,2026,0,Accountant
B.Com,Finance,"Auditing, Taxation, Tally",CFA,7.87,2024,0,Accountant
B.Pharm,Pharmaceutical Chemistry,"Problem Solving, Communication",None,6.87,2025,0,Pharmaceutical Chemist
M.Tech,Computer Science,"MongoDB, HTML, React, CSS",None,9.12,2024,1,Full Stack Developer
PhD,Biotechnology,"Problem Solving, Communication",None,8.01,2024,0,Research Associate
BBA,Finance,"Financial Analysis, Excel, Portfolio Management, Equity Research",None,7.55,2026,1,Investment Analyst
B.Sc,Chemistry,"Problem Solving, Communication",None,5.78,2027,1,Lab Technician
PhD,Physics,"Research, Lab Techniques, Data Analysis, Technical Writing",None,5.92,2027,0,Research Scientist
B.Arch,Architecture,"SketchUp, AutoCAD, Revit, 3D Modeling, Building Codes",None,7.84,2025,1,Architect
B.Arch,Interior Design,"Color Theory, Space Planning, SketchUp, AutoCAD, Material Selection",None,5.0,2026,1,Interior Designer
MA,English,"Editing, Blogging, Research, Creative Writing, SEO",None,8.72,2023,1,Content Writer
B.Tech,Data Science,"Data Visualization, Machine Learning, Python, Communication",None,7.31,2024,0,Data Scientist
BBA,Human Resources,"Payroll, Employee Relations, Conflict Resolution",PHR,9.9,2024,1,HR Manager
B.Tech,Computer Science,"JavaScript, React, CSS, Node.js",None,9.9,2025,1,Full Stack Developer
LLM,Intellectual Property Law,"Problem Solving, Communication",None,7.28,2026,1,Patent Analyst
LLM,Corporate Law,"Drafting, Contract Law, Compliance",None,7.37,2027,1,Corporate Lawyer
MCA,Computer Applications,"SQL, Java, .NET",None,8.69,2026,1,Software Developer
B.Com,Banking,"Problem Solving, Communication",None,9.54,2026,0,Banking Officer
B.Tech,Computer Science,"C++, SQL, Algorithms",None,5.53,2025,0,Software Engineer
M.Sc,Data Science,"SQL, Tableau, Excel, Python",Azure Data Scientist,5.36,2026,1,Data Analyst
M.Tech,Computer Science,"C++, Data Structures, Java",Oracle Java,6.75,2026,0,Software Engineer
LLB,Corporate Law,"Problem Solving, Communication",None,8.2,2026,0,Legal Advisor
B.Arch,Interior Design,"AutoCAD, Color Theory, Space Planning, SketchUp",None,8.1,2025,0,Interior Designer
M.Sc,Statistics,"SAS, SPSS, Probability, R",None,8.78,2025,1,Statistician
B.Arch,Interior Design,"Problem Solving, Communication",None,6.06,2024,0,Space Planner
MCA,Computer Applications,"Object Oriented Programming, .NET, C#, Java, SQL",None,5.0,2025,0,Software Developer
MBBS,Surgery,"Problem Solving, Communication",None,8.53,2027,0,Medical Researcher
MBA,Human Resources,"Problem Solving, Communication",None,6.51,2025,1,Recruitment Specialist
BA,Economics,"Problem Solving, Communication",None,5.08,2027,0,Policy Analyst
LLB,Constitutional Law,"Problem Solving, Communication",None,7.67,2025,1,Constitutional Lawyer
M.Arch,Urban Planning,"Problem Solving, Communication",None,8.45,2026,1,Urban Planner
MBBS,General Medicine,"Problem Solving, Communication",None,7.35,2027,0,Medical Consultant
LLM,Corporate Law,"Drafting, Compliance, Communication, Corporate Law",None,6.95,2023,1,Corporate Lawyer
B.Arch,Interior Design,"Color Theory, Space Planning, SketchUp, AutoCAD, Material Selection",None,7.31,2025,1,Interior Designer
B.Com,Finance,"Financial Modeling, Valuation, Excel, Accounting",Financial Modeling,7.06,2024,1,Financial Analyst
M.Sc,Statistics,"SAS, SPSS, R",None,5.88,2025,1,Statistician
BA,Psychology,"Research, Behavioral Analysis, Psychotherapy",None,6.64,2027,1,Psychologist
MBA,Finance,"Excel, Tally, Taxation, Auditing, QuickBooks",None,8.13,2026,0,Accountant
MA,Economics,"Problem Solving, Communication",None,7.89,2023,1,Policy Analyst
MCA,Computer Applications,"CSS, JavaScript, WordPress, HTML, PHP",None,7.7,2026,1,Web Developer
M.Tech,Mechanical Engineering,"Pro-E, Design, CATIA, AutoCAD",None,6.31,2026,1,Design Engineer
MA,English,"Classroom Management, Subject Knowledge, Communication",None,7.28,2026,0,Teacher
MBBS,Surgery,"Problem Solving, Communication",None,5.0,2026,1,Medical Researcher
MA,English,"Creative Writing, Blogging, SEO",None,7.71,2023,1,Content Writer
B.Tech,Mechanical Engineering,"Ansys, Thermodynamics, Manufacturing",Certified SolidWorks Professional,9.21,2026,0,Mechanical Engineer
MBBS,Surgery,"Problem Solving, Communication",None,5.73,2027,0,Medical Researcher
LLB,Criminal Law,"Evidence, Criminal Law, Court Procedures, Litigation",None,6.8,2023,0,Criminal Lawyer
M.Com,Accounting,"Excel, Tally, Taxation, Auditing, QuickBooks",None,7.89,2024,1,Accountant
B.Tech,Data Science,"Big Data, Pandas, Python, Machine Learning, R",Azure Data Scientist,9.0,2025,1,Data Scientist
LLM,Corporate Law,"Drafting, Compliance, Corporate Law",None,6.96,2027,0,Corporate Lawyer
MCA,Computer Applications,"Problem Solving, Communication",None,6.67,2026,0,System Admin
M.Sc,Biotechnology,"Problem Solving, Communication",None,5.14,2025,0,Research Associate
BBA,Marketing,"Content Strategy, Google Analytics, Digital Marketing, CRM, SEO",HubSpot Content Marketing,7.62,2024,1,Marketing Manager
